timestamp_utc,lat_deg,lon_deg,alt_km,x_ecef_km,y_ecef_km,z_ecef_km
2026-02-08T21:09:08.585213+00:00,2.45871469501003,72.52990514806561,35786.63548538592,12646.559407938239,40182.88132587114,1807.017513853874
2026-02-08T21:10:08.585213+00:00,2.459250049045546,72.53012797505846,35786.647473537836,12646.40166032403,40182.92582631127,1807.411242571024
2026-02-08T21:11:08.585213+00:00,2.459738290620872,72.53035085187446,35786.65944749822,12646.244318494964,40182.971738016095,1807.7703669273924
2026-02-08T21:12:08.585213+00:00,2.4601794107238093,72.53057376115521,35786.67140704487,12646.087394893202,40183.01905806361,1808.0948803020178
2026-02-08T21:13:08.585213+00:00,2.4605734008743654,72.53079668538874,35786.68335194792,12645.930902035678,40183.06778339358,1808.384776460935
2026-02-08T21:14:08.585213+00:00,2.460920253499707,72.53101960751951,35786.695281977794,12645.774852085216,40183.11791093832,1808.6400498329137
2026-02-08T21:15:08.585213+00:00,2.461219961934294,72.53124250908695,35786.707196905416,12645.619258155872,40183.16943721208,1808.860695509559
2026-02-08T21:16:08.585213+00:00,2.4614725204200223,72.53146537302064,35786.71909650197,12645.464132352772,40183.22235892752,1809.0467092454087
2026-02-08T21:17:08.585213+00:00,2.461677924106324,72.5316881817796,35786.73098053907,12645.309487077,40183.27667258533,1809.198087458009
2026-02-08T21:18:08.585213+00:00,2.461836169050262,72.53191091781855,35786.74284878872,12645.155334698651,40183.332374576814,1809.3148272279823
2026-02-08T21:19:08.585213+00:00,2.4619472522166115,72.53213356405593,35786.75470102327,12645.001687228403,40183.38946128737,1809.3969262990856
2026-02-08T21:20:08.585213+00:00,2.462011171477907,72.53235610201136,35786.76653701549,12644.848557623885,40183.44792868527,1809.4443830782473
2026-02-08T21:21:08.585213+00:00,2.462027925614486,72.53257851460194,35786.77835653854,12644.695957828724,40183.507772938836,1809.4571966356016
2026-02-08T21:22:08.585213+00:00,2.4619975142782997,72.53280078442288,35786.790159373886,12644.54389998064,40183.568990045605,1809.435366678247
2026-02-08T21:23:08.585213+00:00,2.4619199381061114,72.53302289364535,35786.801945279665,12644.392396473111,40183.63157577614,1809.3788936320343
2026-02-08T21:24:08.585213+00:00,2.4617951985971316,72.5332448253373,35786.81371403819,12644.241459044079,40183.695526014584,1809.2877785537346
2026-02-08T21:25:08.585213+00:00,2.461623298162916,72.53346656103315,35786.8254654242,12644.091100470423,40183.760836190544,1809.1620231663296
2026-02-08T21:26:08.585213+00:00,2.4614042401227367,72.53368808367134,35786.83719921295,12643.941332510498,40183.82750193515,1809.0016298559613
2026-02-08T21:27:08.585213+00:00,2.4611380287035165,72.53390937573283,35786.84891518002,12643.792167209345,40183.895518670266,1808.806601671886
2026-02-08T21:28:08.585213+00:00,2.460824669039729,72.53413041970839,35786.8606131015,12643.643616571206,40183.96488171162,1808.576942326408
2026-02-08T21:29:08.585213+00:00,2.4604641671733027,72.53435119856533,35786.87229275384,12643.495692232103,40184.035586371865,1808.312656194816
2026-02-08T21:30:08.585213+00:00,2.460056530053481,72.53457169388662,35786.88395391397,12643.348406764999,40184.107627550045,1808.0137483152894
2026-02-08T21:31:08.585213+00:00,2.459601765536693,72.53479188866595,35786.89559635923,12643.201771719607,40184.181000348326,1807.6802243888073
2026-02-08T21:32:08.585213+00:00,2.4590998823863783,72.53501176544626,35786.90721986743,12643.055798927766,40184.25569966148,1807.3120907790353
2026-02-08T21:33:08.585213+00:00,2.458550889888894,72.5352313069277,35786.91882422458,12642.910500083197,40184.3317203299,1806.9093542305463
2026-02-08T21:34:08.585213+00:00,2.4579547993574145,72.5354504958724,35786.93040919379,12642.765886784886,40184.40905704384,1806.472022972113
2026-02-08T21:35:08.585213+00:00,2.4573116219229383,72.53566931362047,35786.941974562025,12642.621971612476,40184.48770412708,1806.000105096218
2026-02-08T21:36:08.585213+00:00,2.4566213699749815,72.53588774418597,35786.953520108895,12642.478765230813,40184.56765636777,1805.4936096159167
2026-02-08T21:37:08.585213+00:00,2.4558840568089897,72.53610576974279,35786.96504561445,12642.336279561885,40184.64890804035,1804.952546206209
2026-02-08T21:38:08.585213+00:00,2.4550996966260676,72.5363233729529,35786.97655085926,12642.194526151372,40184.73145341969,1804.3769252038526
2026-02-08T21:39:08.585213+00:00,2.454268304532695,72.53654053696891,35786.98803562428,12642.053516167534,40184.81528678152,1803.7667576071672
2026-02-08T21:40:08.585213+00:00,2.4533898965404033,72.53675724357265,35786.99949969104,12641.913261706297,40184.90040199204,1803.1220550758167
2026-02-08T21:41:08.585213+00:00,2.452464489565466,72.53697347596972,35787.0109428415,12641.77377383165,40184.98679312457,1802.4428299305905
2026-02-08T21:42:08.585213+00:00,2.451492101428543,72.53718921692916,35787.02236485812,12641.635063880141,40185.074454049296,1801.7290951531625
2026-02-08T21:43:08.585213+00:00,2.450472750854328,72.5374044492496,35787.033765523796,12641.49714313436,40185.16337853619,1800.9808643858435
2026-02-08T21:44:08.585213+00:00,2.4494064567404195,72.53761915636392,35787.04514462962,12641.360022407785,40185.25356041793,1800.1981513949129
2026-02-08T21:45:08.585213+00:00,2.44829324104843,72.53783331992884,35787.05650194425,12641.223713699135,40185.34499294233,1799.380972192862
2026-02-08T21:46:08.585213+00:00,2.447133124513513,72.53804692344443,35787.067837259725,12641.08822770811,40185.437669743435,1798.529341888995
2026-02-08T21:47:08.585213+00:00,2.445926129472489,72.53825994984243,35787.079150360994,12640.953575490881,40185.53158419579,1797.643276765422
2026-02-08T21:48:08.585213+00:00,2.444672279164126,72.53847238209175,35787.090441033506,12640.819768044537,40185.62672957637,1796.722793763447
2026-02-08T21:49:08.585213+00:00,2.443371597728667,72.5386842036645,35787.101709063194,12640.686815980314,40185.72309916762,1795.767910483251
2026-02-08T21:50:08.585213+00:00,2.442024110207339,72.53889539667523,35787.112954236516,12640.554730828597,40185.820685847226,1794.7786451835461
2026-02-08T21:51:08.585213+00:00,2.440629842541849,72.53910594467618,35787.12417634047,12640.423523078602,40185.919482705,1793.7550167812324
2026-02-08T21:52:08.585213+00:00,2.439188821573861,72.53931583079577,35787.13537516253,12640.293203484103,40186.01948263238,1792.697044851029
2026-02-08T21:53:08.585213+00:00,2.4377010750444446,72.53952503820551,35787.14655049079,12640.163782735981,40186.12067842578,1791.6047496251006
2026-02-08T21:54:08.585213+00:00,2.4361666315935264,72.53973355058736,35787.157702113764,12640.035271134402,40186.22306288989,1790.4781519926698
